IDA* on non-unit STP problem 0
(4x4)14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3
(4x4)0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
F bound current: 45.0 | 0 expanded | 0 generated
F bound current: 48.725 | 2353 expanded | 6706 generated
F bound current: 48.7875 | 2428 expanded | 6916 generated
F bound current: 48.79487734487734 | 2504 expanded | 7129 generated
F bound current: 48.851165501165504 | 2581 expanded | 7344 generated
F bound current: 49.176923076923075 | 2659 expanded | 7561 generated
F bound current: 49.18449883449883 | 2738 expanded | 7781 generated
F bound current: 49.301923076923075 | 2818 expanded | 8004 generated
F bound current: 49.31085164835165 | 2899 expanded | 8229 generated
F bound current: 49.351165501165504 | 2981 expanded | 8458 generated
F bound current: 49.36085164835165 | 3064 expanded | 8690 generated
F bound current: 49.364423076923075 | 3148 expanded | 8925 generated
F bound current: 49.36978021978022 | 3233 expanded | 9163 generated
F bound current: 49.38003663003663 | 3319 expanded | 9405 generated
F bound current: 49.381684981684984 | 3406 expanded | 9651 generated
F bound current: 49.403113553113556 | 3494 expanded | 9901 generated
F bound current: 49.41085164835165 | 3583 expanded | 10155 generated
F bound current: 49.426785714285714 | 3673 expanded | 10413 generated
F bound current: 49.43585164835165 | 3764 expanded | 10674 generated
F bound current: 49.43644688644689 | 3856 expanded | 10938 generated
F bound current: 49.437042124542124 | 3949 expanded | 11205 generated
F bound current: 49.441208791208794 | 4043 expanded | 11475 generated
F bound current: 49.44597069597069 | 4139 expanded | 11752 generated
F bound current: 49.44835164835165 | 4236 expanded | 12033 generated
F bound current: 49.453968253968256 | 4334 expanded | 12317 generated
F bound current: 49.46085164835165 | 4433 expanded | 12604 generated
F bound current: 49.46336996336996 | 4533 expanded | 12894 generated
F bound current: 49.465613553113556 | 4634 expanded | 13188 generated
F bound current: 49.46978021978022 | 4736 expanded | 13485 generated
F bound current: 49.477518315018315 | 4839 expanded | 13786 generated
F bound current: 49.48168498168498 | 4945 expanded | 14095 generated
F bound current: 49.48585164835165 | 5052 expanded | 14408 generated
F bound current: 49.49114774114774 | 5160 expanded | 14723 generated
F bound current: 49.49418498168498 | 5269 expanded | 15041 generated
F bound current: 49.502518315018314 | 5379 expanded | 15362 generated
F bound current: 49.50787545787546 | 5493 expanded | 15693 generated
F bound current: 49.51813186813187 | 5608 expanded | 16027 generated
F bound current: 49.519780219780216 | 5724 expanded | 16364 generated
Interrupted


IDA* on non-unit STP problem 1
(4x4)13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6
(4x4)0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
F bound current: 47.0 | 0 expanded | 0 generated
F bound current: 49.0625 | 1 expanded | 2 generated
F bound current: 49.333333333333336 | 3 expanded | 7 generated
F bound current: 49.43333333333334 | 6 expanded | 15 generated
F bound current: 49.50476190476191 | 10 expanded | 26 generated
F bound current: 49.51025641025641 | 15 expanded | 39 generated
F bound current: 49.62136752136752 | 26 expanded | 70 generated
F bound current: 49.676923076923075 | 38 expanded | 105 generated
F bound current: 49.68803418803419 | 51 expanded | 143 generated
F bound current: 49.74636752136752 | 84 expanded | 240 generated
F bound current: 49.77894327894328 | 136 expanded | 392 generated
F bound current: 49.79220085470085 | 189 expanded | 546 generated
F bound current: 49.80864413364413 | 243 expanded | 702 generated
F bound current: 49.810057997558 | 298 expanded | 861 generated
F bound current: 49.82136752136752 | 354 expanded | 1022 generated
F bound current: 49.82970085470085 | 411 expanded | 1186 generated
F bound current: 49.86839133089133 | 469 expanded | 1353 generated
F bound current: 49.87692307692308 | 528 expanded | 1522 generated
F bound current: 49.87970085470086 | 588 expanded | 1694 generated
F bound current: 49.89220085470085 | 649 expanded | 1869 generated
F bound current: 49.912276612276614 | 711 expanded | 2047 generated
F bound current: 49.93364413364413 | 774 expanded | 2227 generated
F bound current: 49.93803418803419 | 838 expanded | 2410 generated
F bound current: 49.94809218559218 | 920 expanded | 2647 generated
F bound current: 49.96783216783217 | 1003 expanded | 2887 generated
F bound current: 49.970609945609944 | 1087 expanded | 3129 generated
F bound current: 49.972557997558 | 1172 expanded | 3373 generated
F bound current: 50.00470085470086 | 1258 expanded | 3619 generated
F bound current: 50.02136752136752 | 1346 expanded | 3871 generated
F bound current: 50.0719017094017 | 1435 expanded | 4126 generated
F bound current: 50.076501276501276 | 1525 expanded | 4383 generated
F bound current: 50.08386752136752 | 1616 expanded | 4642 generated
F bound current: 50.147557997557996 | 1708 expanded | 4904 generated
F bound current: 50.14882478632478 | 1802 expanded | 5170 generated
F bound current: 50.159834609834604 | 1897 expanded | 5439 generated
F bound current: 50.16422466422466 | 1993 expanded | 5711 generated
F bound current: 50.17060994560994 | 2090 expanded | 5985 generated
F bound current: 50.222334609834604 | 2188 expanded | 6262 generated
F bound current: 50.22553418803419 | 2287 expanded | 6542 generated
F bound current: 50.23089133089133 | 2387 expanded | 6824 generated
F bound current: 50.259935897435895 | 2489 expanded | 7112 generated
F bound current: 50.281425518925516 | 2592 expanded | 7403 generated
F bound current: 50.29339133089133 | 2696 expanded | 7696 generated
F bound current: 50.29560994560994 | 2802 expanded | 7995 generated
F bound current: 50.331364468864464 | 2909 expanded | 8297 generated
F bound current: 50.35834859584859 | 3017 expanded | 8601 generated
F bound current: 50.41720085470085 | 3126 expanded | 8908 generated
F bound current: 50.438467088467085 | 3236 expanded | 9217 generated
F bound current: 50.4694597069597 | 3347 expanded | 9528 generated
F bound current: 50.52180042180042 | 3459 expanded | 9842 generated
F bound current: 50.53136446886447 | 3572 expanded | 10159 generated
F bound current: 50.54088827838827 | 3686 expanded | 10479 generated
F bound current: 50.55566794316793 | 3801 expanded | 10801 generated
F bound current: 50.58430042180042 | 3917 expanded | 11125 generated
F bound current: 50.62553418803419 | 4034 expanded | 11452 generated
F bound current: 50.62672466422467 | 4152 expanded | 11782 generated
F bound current: 50.63259102009101 | 4272 expanded | 12116 generated
F bound current: 50.674145299145295 | 4393 expanded | 12453 generated
F bound current: 50.74088827838827 | 4515 expanded | 12794 generated
F bound current: 50.74370213120213 | 4638 expanded | 13138 generated
F bound current: 50.8151307026307 | 4762 expanded | 13485 generated
F bound current: 50.82275641025641 | 4887 expanded | 13834 generated
F bound current: 50.840811965811966 | 5013 expanded | 14186 generated
F bound current: 50.88525641025641 | 5140 expanded | 14541 generated
F bound current: 50.91763375513375 | 5274 expanded | 14916 generated
F bound current: 50.91773504273504 | 5409 expanded | 15293 generated
F bound current: 50.95106837606838 | 5545 expanded | 15674 generated
F bound current: 50.95886752136752 | 5682 expanded | 16059 generated
F bound current: 50.968589743589746 | 5820 expanded | 16446 generated
F bound current: 50.976068376068376 | 5959 expanded | 16836 generated
F bound current: 50.9780525030525 | 6099 expanded | 17230 generated
F bound current: 51.00728021978022 | 6240 expanded | 17627 generated
F bound current: 51.0151307026307 | 6382 expanded | 18026 generated
F bound current: 51.031089743589746 | 6525 expanded | 18428 generated
F bound current: 51.03136446886447 | 6669 expanded | 18833 generated
F bound current: 51.04081196581196 | 6814 expanded | 19241 generated
F bound current: 51.05886752136752 | 6960 expanded | 19652 generated
F bound current: 51.08916361416361 | 7108 expanded | 20069 generated
F bound current: 51.10747863247863 | 7257 expanded | 20488 generated
F bound current: 51.111446886446885 | 7407 expanded | 20911 generated
F bound current: 51.11773504273504 | 7558 expanded | 21336 generated
F bound current: 51.122273559773554 | 7710 expanded | 21764 generated
F bound current: 51.131721056721055 | 7863 expanded | 22194 generated
F bound current: 51.145833333333336 | 8017 expanded | 22626 generated
F bound current: 51.156089743589746 | 8172 expanded | 23061 generated
F bound current: 51.16773504273504 | 8328 expanded | 23498 generated
F bound current: 51.175274725274726 | 8485 expanded | 23939 generated
F bound current: 51.17606837606837 | 8643 expanded | 24383 generated
F bound current: 51.1780525030525 | 8802 expanded | 24830 generated
F bound current: 51.20864413364413 | 8962 expanded | 25280 generated
F bound current: 51.226068376068376 | 9123 expanded | 25732 generated
F bound current: 51.24088827838827 | 9285 expanded | 26188 generated
F bound current: 51.25053418803419 | 9448 expanded | 26647 generated
F bound current: 51.251068376068375 | 9612 expanded | 27109 generated
F bound current: 51.25608974358974 | 9777 expanded | 27574 generated
F bound current: 51.266977466977465 | 9943 expanded | 28042 generated
F bound current: 51.26896159396159 | 10110 expanded | 28512 generated
F bound current: 51.274145299145296 | 10278 expanded | 28984 generated
F bound current: 51.28136446886447 | 10447 expanded | 29459 generated
F bound current: 51.284401709401706 | 10617 expanded | 29938 generated
F bound current: 51.288690476190474 | 10788 expanded | 30421 generated
Interrupted


IDA* on non-unit STP problem 2
(4x4)14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15
(4x4)0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
F bound current: 44.0 | 0 expanded | 0 generated
F bound current: 46.0625 | 1 expanded | 3 generated
F bound current: 46.166666666666664 | 3 expanded | 8 generated
F bound current: 46.2 | 7 expanded | 20 generated
F bound current: 46.25757575757576 | 12 expanded | 35 generated
F bound current: 46.34090909090909 | 18 expanded | 54 generated
F bound current: 46.36868686868687 | 25 expanded | 77 generated
F bound current: 46.41233766233766 | 33 expanded | 103 generated
F bound current: 46.45757575757576 | 42 expanded | 132 generated
F bound current: 46.479004329004326 | 52 expanded | 164 generated
F bound current: 46.493686868686865 | 63 expanded | 198 generated
F bound current: 46.560353535353535 | 75 expanded | 235 generated
F bound current: 46.624242424242425 | 88 expanded | 274 generated
F bound current: 46.7020202020202 | 102 expanded | 316 generated
F bound current: 47.729166666666664 | 117 expanded | 360 generated
F bound current: 47.80952380952381 | 133 expanded | 406 generated
F bound current: 47.88644688644689 | 150 expanded | 455 generated
F bound current: 47.96978021978022 | 168 expanded | 508 generated
F bound current: 47.986446886446885 | 187 expanded | 565 generated
F bound current: 48.04120879120879 | 207 expanded | 625 generated
F bound current: 48.057875457875454 | 228 expanded | 688 generated
F bound current: 48.05952380952381 | 250 expanded | 754 generated
F bound current: 48.06068931068931 | 273 expanded | 822 generated
F bound current: 48.10787545787546 | 297 expanded | 894 generated
F bound current: 48.124542124542124 | 322 expanded | 968 generated
F bound current: 48.17180042180042 | 348 expanded | 1044 generated
F bound current: 48.236446886446885 | 375 expanded | 1123 generated
F bound current: 48.243589743589745 | 403 expanded | 1204 generated
F bound current: 48.26068931068931 | 432 expanded | 1289 generated
F bound current: 48.29090909090909 | 462 expanded | 1377 generated
F bound current: 48.29680042180042 | 493 expanded | 1469 generated
F bound current: 48.313369963369965 | 525 expanded | 1564 generated
F bound current: 48.32692307692308 | 558 expanded | 1662 generated
F bound current: 48.343589743589746 | 592 expanded | 1764 generated
F bound current: 48.36346708846709 | 627 expanded | 1869 generated
F bound current: 48.374242424242425 | 663 expanded | 1976 generated
F bound current: 48.38644688644688 | 700 expanded | 2087 generated
F bound current: 48.38644688644689 | 747 expanded | 2230 generated
F bound current: 48.39835164835165 | 795 expanded | 2377 generated
F bound current: 48.4020202020202 | 844 expanded | 2527 generated
F bound current: 48.415018315018315 | 894 expanded | 2680 generated
F bound current: 48.41783216783217 | 945 expanded | 2836 generated
F bound current: 48.420945720945724 | 997 expanded | 2996 generated
F bound current: 48.42735597735597 | 1050 expanded | 3159 generated
F bound current: 48.445670995670994 | 1104 expanded | 3325 generated
F bound current: 48.456227106227104 | 1159 expanded | 3494 generated
F bound current: 48.45757575757576 | 1215 expanded | 3666 generated
F bound current: 48.46501831501831 | 1283 expanded | 3875 generated
F bound current: 48.46590909090909 | 1352 expanded | 4086 generated
F bound current: 48.47735597735598 | 1422 expanded | 4300 generated
F bound current: 48.48168498168498 | 1493 expanded | 4518 generated
F bound current: 48.4987234987235 | 1565 expanded | 4738 generated
F bound current: 48.499242424242425 | 1638 expanded | 4960 generated
F bound current: 48.505133755133755 | 1712 expanded | 5185 generated
F bound current: 48.512337662337664 | 1787 expanded | 5412 generated
F bound current: 48.51783216783217 | 1864 expanded | 5644 generated
F bound current: 48.5270202020202 | 1942 expanded | 5879 generated
F bound current: 48.52735597735598 | 2021 expanded | 6117 generated
F bound current: 48.52930402930403 | 2101 expanded | 6357 generated
F bound current: 48.532575757575756 | 2182 expanded | 6600 generated
F bound current: 48.53333333333333 | 2264 expanded | 6845 generated
F bound current: 48.53846708846709 | 2347 expanded | 7092 generated
F bound current: 48.553113553113555 | 2431 expanded | 7342 generated
F bound current: 48.56068931068931 | 2516 expanded | 7595 generated
F bound current: 48.5625 | 2619 expanded | 7904 generated
F bound current: 48.56590909090909 | 2723 expanded | 8216 generated
F bound current: 48.5770202020202 | 2828 expanded | 8530 generated
F bound current: 48.58846708846709 | 2935 expanded | 8851 generated
F bound current: 48.58926073926074 | 3043 expanded | 9175 generated
F bound current: 48.593589743589746 | 3153 expanded | 9506 generated
F bound current: 48.593686868686866 | 3264 expanded | 9839 generated
F bound current: 48.6015984015984 | 3376 expanded | 10174 generated
F bound current: 48.604004329004326 | 3489 expanded | 10512 generated
F bound current: 48.604279054279054 | 3603 expanded | 10853 generated
F bound current: 48.61035353535354 | 3718 expanded | 11197 generated
F bound current: 48.630469530469526 | 3834 expanded | 11544 generated
F bound current: 48.631782106782104 | 3951 expanded | 11894 generated
F bound current: 48.63644688644689 | 4069 expanded | 12247 generated
F bound current: 48.64402264402264 | 4188 expanded | 12602 generated
F bound current: 48.64844877344877 | 4308 expanded | 12961 generated
F bound current: 48.65592740592741 | 4429 expanded | 13323 generated
F bound current: 48.657575757575756 | 4551 expanded | 13687 generated
F bound current: 48.66068931068931 | 4674 expanded | 14054 generated
F bound current: 48.66346708846709 | 4798 expanded | 14425 generated
F bound current: 48.66618381618382 | 4923 expanded | 14799 generated
F bound current: 48.67735597735598 | 5049 expanded | 15177 generated
F bound current: 48.67937617937618 | 5177 expanded | 15562 generated
F bound current: 48.68493173493174 | 5306 expanded | 15949 generated
F bound current: 48.686742424242425 | 5436 expanded | 16340 generated
F bound current: 48.688131313131315 | 5567 expanded | 16733 generated
F bound current: 48.70354645354645 | 5699 expanded | 17130 generated
F bound current: 48.71346708846709 | 5832 expanded | 17530 generated
F bound current: 48.71511544011544 | 5966 expanded | 17933 generated
F bound current: 48.71515151515152 | 6102 expanded | 18341 generated
F bound current: 48.72735597735598 | 6246 expanded | 18773 generated
F bound current: 48.73013375513376 | 6391 expanded | 19208 generated
F bound current: 48.73211788211788 | 6537 expanded | 19645 generated
F bound current: 48.734931734931735 | 6684 expanded | 20085 generated
F bound current: 48.73535353535354 | 6840 expanded | 20553 generated
F bound current: 48.74402264402264 | 6997 expanded | 21023 generated
F bound current: 48.74848484848485 | 7155 expanded | 21496 generated
Interrupted


IDA* on non-unit STP problem 3
(4x4)5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6
(4x4)0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
F bound current: 45.0 | 0 expanded | 0 generated
F bound current: 45.125 | 1 expanded | 3 generated
F bound current: 47.06666666666667 | 3 expanded | 8 generated
F bound current: 47.07142857142857 | 6 expanded | 17 generated
F bound current: 47.15 | 10 expanded | 29 generated
F bound current: 47.157575757575756 | 25 expanded | 77 generated
F bound current: 47.19761904761905 | 42 expanded | 131 generated
F bound current: 47.2047619047619 | 60 expanded | 187 generated
F bound current: 47.2125 | 79 expanded | 247 generated
F bound current: 47.214285714285715 | 99 expanded | 310 generated
F bound current: 47.21590909090909 | 120 expanded | 375 generated
F bound current: 47.22692307692308 | 142 expanded | 443 generated
F bound current: 47.24642857142857 | 165 expanded | 514 generated
F bound current: 47.25833333333333 | 189 expanded | 587 generated
F bound current: 47.295670995670996 | 214 expanded | 662 generated
F bound current: 47.37916666666666 | 240 expanded | 740 generated
F bound current: 47.39358974358974 | 267 expanded | 820 generated
F bound current: 47.56666666666666 | 295 expanded | 902 generated
F bound current: 47.63809523809524 | 324 expanded | 988 generated
F bound current: 47.666666666666664 | 354 expanded | 1077 generated
F bound current: 47.7047619047619 | 385 expanded | 1169 generated
F bound current: 47.78095238095238 | 417 expanded | 1264 generated
F bound current: 47.8297619047619 | 450 expanded | 1361 generated
F bound current: 48.59444444444445 | 484 expanded | 1460 generated
F bound current: 48.65694444444445 | 519 expanded | 1562 generated
F bound current: 48.82361111111111 | 555 expanded | 1667 generated
F bound current: 48.84444444444445 | 592 expanded | 1774 generated
F bound current: 48.9 | 630 expanded | 1883 generated
F bound current: 48.900534188034186 | 669 expanded | 1996 generated
F bound current: 48.92619047619048 | 709 expanded | 2112 generated
F bound current: 48.983333333333334 | 750 expanded | 2230 generated
F bound current: 48.99761904761905 | 798 expanded | 2373 generated
F bound current: 49.03095238095238 | 847 expanded | 2519 generated
F bound current: 49.044444444444444 | 897 expanded | 2667 generated
F bound current: 49.045833333333334 | 949 expanded | 2821 generated
F bound current: 49.06025641025641 | 1002 expanded | 2978 generated
F bound current: 49.06428571428572 | 1056 expanded | 3138 generated
F bound current: 49.0797619047619 | 1111 expanded | 3301 generated
F bound current: 49.099999999999994 | 1167 expanded | 3466 generated
F bound current: 49.1 | 1224 expanded | 3634 generated
F bound current: 49.106944444444444 | 1282 expanded | 3805 generated
F bound current: 49.144444444444446 | 1341 expanded | 3979 generated
F bound current: 49.147619047619045 | 1401 expanded | 4156 generated
F bound current: 49.1511655011655 | 1462 expanded | 4337 generated
F bound current: 49.170670995670996 | 1530 expanded | 4543 generated
F bound current: 49.18928571428572 | 1599 expanded | 4752 generated
F bound current: 49.198784548784545 | 1669 expanded | 4963 generated
F bound current: 49.199999999999996 | 1740 expanded | 5176 generated
F bound current: 49.2 | 1812 expanded | 5392 generated
F bound current: 49.2047619047619 | 1885 expanded | 5611 generated
F bound current: 49.207255244755245 | 1959 expanded | 5833 generated
F bound current: 49.2125 | 2034 expanded | 6058 generated
F bound current: 49.226190476190474 | 2110 expanded | 6285 generated
F bound current: 49.22692307692308 | 2187 expanded | 6514 generated
F bound current: 49.23386752136752 | 2265 expanded | 6745 generated
F bound current: 49.23449883449884 | 2344 expanded | 6980 generated
F bound current: 49.23566433566434 | 2425 expanded | 7221 generated
F bound current: 49.23852813852814 | 2507 expanded | 7465 generated
F bound current: 49.24444444444444 | 2590 expanded | 7712 generated
F bound current: 49.24759407259407 | 2674 expanded | 7963 generated
F bound current: 49.26783216783217 | 2759 expanded | 8216 generated
F bound current: 49.27361111111111 | 2845 expanded | 8472 generated
F bound current: 49.27619047619048 | 2932 expanded | 8730 generated
F bound current: 49.2801948051948 | 3020 expanded | 8992 generated
F bound current: 49.282575757575756 | 3109 expanded | 9257 generated
F bound current: 49.28333333333333 | 3201 expanded | 9530 generated
F bound current: 49.28809523809524 | 3294 expanded | 9806 generated
F bound current: 49.29283216783217 | 3389 expanded | 10090 generated
F bound current: 49.29761904761905 | 3485 expanded | 10377 generated
F bound current: 49.31428571428572 | 3583 expanded | 10670 generated
F bound current: 49.317832167832165 | 3682 expanded | 10966 generated
F bound current: 49.32361111111111 | 3782 expanded | 11265 generated
F bound current: 49.33733766233766 | 3883 expanded | 11567 generated
F bound current: 49.34285714285714 | 3985 expanded | 11872 generated
F bound current: 49.34761904761905 | 4090 expanded | 12184 generated
F bound current: 49.34924242424242 | 4196 expanded | 12498 generated
F bound current: 49.349999999999994 | 4303 expanded | 12815 generated
F bound current: 49.35 | 4411 expanded | 13134 generated
F bound current: 49.3547619047619 | 4520 expanded | 13455 generated
F bound current: 49.364285714285714 | 4630 expanded | 13780 generated
F bound current: 49.36590909090909 | 4741 expanded | 14108 generated
F bound current: 49.36783216783217 | 4862 expanded | 14469 generated
F bound current: 49.36904761904762 | 4984 expanded | 14833 generated
F bound current: 49.37259407259407 | 5107 expanded | 15201 generated
F bound current: 49.37392191142191 | 5231 expanded | 15572 generated
F bound current: 49.37619047619047 | 5356 expanded | 15945 generated
F bound current: 49.37900432900433 | 5482 expanded | 16321 generated
F bound current: 49.38809523809524 | 5609 expanded | 16700 generated
F bound current: 49.4 | 5737 expanded | 17082 generated
F bound current: 49.400534188034186 | 5871 expanded | 17482 generated
F bound current: 49.4011655011655 | 6006 expanded | 17885 generated
F bound current: 49.402331002331 | 6142 expanded | 18290 generated
F bound current: 49.413528138528136 | 6279 expanded | 18697 generated
F bound current: 49.41428571428571 | 6417 expanded | 19106 generated
F bound current: 49.420670995670996 | 6558 expanded | 19524 generated
F bound current: 49.42619047619048 | 6700 expanded | 19944 generated
F bound current: 49.42840909090909 | 6844 expanded | 20370 generated
F bound current: 49.44015151515151 | 6989 expanded | 20799 generated
F bound current: 49.442832167832165 | 7135 expanded | 21230 generated
F bound current: 49.445670995670994 | 7282 expanded | 21664 generated
F bound current: 49.44761904761905 | 7430 expanded | 22101 generated
Interrupted


IDA* on non-unit STP problem 4
(4x4)4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0
(4x4)0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
F bound current: 47.0 | 0 expanded | 0 generated
F bound current: 47.0625 | 1 expanded | 2 generated
F bound current: 47.13942307692308 | 3 expanded | 7 generated
F bound current: 47.205357142857146 | 6 expanded | 15 generated
F bound current: 47.21085164835165 | 10 expanded | 27 generated
F bound current: 47.27751831501831 | 15 expanded | 41 generated
F bound current: 47.40251831501831 | 21 expanded | 58 generated
F bound current: 47.65251831501831 | 28 expanded | 78 generated
F bound current: 47.743427405927406 | 36 expanded | 102 generated
F bound current: 47.819184981684984 | 45 expanded | 129 generated
F bound current: 47.90251831501831 | 55 expanded | 160 generated
F bound current: 47.94342740592741 | 67 expanded | 196 generated
F bound current: 47.993427405927406 | 80 expanded | 234 generated
F bound current: 48.15251831501831 | 94 expanded | 275 generated
F bound current: 48.19342740592741 | 109 expanded | 319 generated
F bound current: 48.26362942612943 | 125 expanded | 365 generated
F bound current: 49.111111111111114 | 142 expanded | 414 generated
F bound current: 49.239423076923075 | 160 expanded | 466 generated
F bound current: 49.30535714285714 | 179 expanded | 522 generated
F bound current: 49.306089743589745 | 199 expanded | 582 generated
F bound current: 49.31646825396825 | 220 expanded | 645 generated
F bound current: 49.37202380952381 | 242 expanded | 711 generated
F bound current: 49.377518315018314 | 266 expanded | 784 generated
F bound current: 49.38228021978022 | 292 expanded | 863 generated
F bound current: 49.431089743589745 | 320 expanded | 949 generated
F bound current: 49.44345238095238 | 349 expanded | 1038 generated
F bound current: 49.44444444444444 | 379 expanded | 1129 generated
F bound current: 49.44894688644688 | 410 expanded | 1223 generated
F bound current: 49.45370879120879 | 442 expanded | 1320 generated
F bound current: 49.45535714285714 | 475 expanded | 1419 generated
F bound current: 49.45920329670329 | 510 expanded | 1523 generated
F bound current: 49.489423076923075 | 546 expanded | 1630 generated
F bound current: 49.49702380952381 | 583 expanded | 1741 generated
F bound current: 49.51561355311355 | 621 expanded | 1855 generated
F bound current: 49.52037545787546 | 660 expanded | 1971 generated
F bound current: 49.525137362637366 | 700 expanded | 2091 generated
F bound current: 49.54626623376623 | 741 expanded | 2214 generated
F bound current: 49.55535714285714 | 783 expanded | 2340 generated
F bound current: 49.58033216783217 | 826 expanded | 2470 generated
F bound current: 49.59729853479853 | 870 expanded | 2603 generated
F bound current: 49.602518315018315 | 915 expanded | 2739 generated
F bound current: 49.614423076923075 | 961 expanded | 2877 generated
F bound current: 49.627518315018314 | 1008 expanded | 3018 generated
F bound current: 49.646266233766234 | 1056 expanded | 3163 generated
F bound current: 49.65251831501831 | 1105 expanded | 3311 generated
F bound current: 49.656089743589746 | 1155 expanded | 3461 generated
F bound current: 49.6687271062271 | 1206 expanded | 3615 generated
F bound current: 49.68035714285714 | 1258 expanded | 3772 generated
F bound current: 49.681089743589745 | 1311 expanded | 3932 generated
F bound current: 49.70535714285714 | 1366 expanded | 4099 generated
F bound current: 49.71842740592741 | 1423 expanded | 4271 generated
F bound current: 49.72202380952381 | 1481 expanded | 4446 generated
F bound current: 49.72959956709957 | 1540 expanded | 4625 generated
F bound current: 49.73539377289377 | 1601 expanded | 4809 generated
F bound current: 49.73585164835165 | 1663 expanded | 4995 generated
